nome,fonte,unidade,codigo_brasil,brasil,ano_1974,ano_1975,ano_1976,ano_1977,ano_1978,ano_1979,ano_1980,ano_1981,ano_1982,ano_1983,ano_1984,ano_1985,ano_1986,ano_1987,ano_1988,ano_1989,ano_1990,ano_1991,ano_1992,ano_1993,ano_1994,ano_1995,ano_1996,ano_1997,ano_1998,ano_1999,ano_2000,ano_2001,ano_2002,ano_2003,ano_2004,ano_2005,ano_2006,ano_2007,ano_2008,ano_2009,ano_2010,ano_2011,ano_2012,ano_2013,ano_2014,ano_2015,ano_2016,ano_2017,ano_2018,ano_2019,ano_2020,ano_2021,ano_2022,ano_2023,ano_2024
Área colhida - Algodão herbáceo (caroço) - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,1726036.0,1546831.0,1065763.0,1534750.0,1471092.0,1286180.0,1353443.0,1396576.0,1568268.0,1347216.0,1673402.0,2252876.0,1995921.0,1277277.0,1824568.0,1506794.0,1391884.0,1485963.0,1594036.0,922593.0,1060564.0,1103536.0,744898.0,620417.0,825029.0,669313.0,801618.0,875107.0,760431.0,712556.0,1150040.0,1258508.0,898008.0,1125262.0,1063524.0,811569.0,849564.0,1405135.0,1381919.0,943742.0,1129399.0,1032935.0,996188.0,927987.0,1150014.0,1627163.0,1633091.0,1369430.0,1649532.0,1709425.0,
Área colhida - Amendoim - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,747274.0,690190.0,742930.0,228747.0,253785.0,288686.0,312947.0,244806.0,236888.0,211696.0,150663.0,193165.0,161856.0,143586.0,99884.0,85516.0,83583.0,89414.0,100649.0,85977.0,91897.0,94723.0,80735.0,88472.0,102045.0,101218.0,104948.0,105010.0,97093.0,89174.0,104501.0,136128.0,110777.0,113776.0,121454.0,94323.0,93538.0,106671.0,110366.0,120970.0,142952.0,147872.0,154556.0,154300.0,151832.0,171569.0,178777.0,203962.0,220463.0,235687.0,
Área colhida - Arroz - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,9329766.0,10612540.0,13312960.0,5992090.0,5623515.0,5452086.0,6243138.0,6101772.0,6024657.0,5108250.0,5351473.0,4754692.0,5584979.0,5979792.0,5959100.0,5250149.0,3946691.0,4121597.0,4687022.0,4411315.0,4414803.0,4373538.0,3253767.0,3058127.0,3062195.0,3813266.0,3664804.0,3142826.0,3142051.0,3180859.0,3733148.0,3916305.0,2970918.0,2890926.0,2819394.0,2839369.0,2736370.0,2752891.0,2413288.0,2353152.0,2340878.0,2138397.0,1943938.0,2006202.0,1872155.0,1710063.0,1677705.0,1689190.0,1622990.0,1482748.0,
Área colhida - Banana - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,306820.0,313650.0,311541.0,351574.0,328287.0,343654.0,371274.0,387828.0,395758.0,396487.0,395809.0,417847.0,430624.0,447391.0,466024.0,483242.0,487883.0,490617.0,515844.0,520014.0,516087.0,509365.0,496593.0,532745.0,518433.0,518587.0,524750.0,510313.0,502939.0,509588.0,491042.0,491258.0,504586.0,515384.0,510066.0,476515.0,483860.0,503354.0,481116.0,485075.0,478765.0,478169.0,463771.0,461365.0,458054.0,462026.0,455004.0,453305.0,458489.0,456522.0,
Área colhida - Batata-inglesa - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,384624.0,382432.0,399282.0,195767.0,211315.0,204118.0,181084.0,170982.0,182504.0,169070.0,172633.0,155235.0,160677.0,176857.0,173727.0,156768.0,158326.0,161626.0,173185.0,162063.0,171853.0,176767.0,163072.0,174830.0,177972.0,176481.0,151731.0,153984.0,161124.0,151850.0,142704.0,142229.0,140826.0,148019.0,144901.0,138677.0,142289.0,149212.0,135970.0,128056.0,132058.0,131931.0,129842.0,118130.0,119609.0,116846.0,117253.0,116422.0,118713.0,123455.0,
Área colhida - Cacau - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,515200.0,451145.0,407329.0,412743.0,443866.0,453569.0,482521.0,504935.0,533273.0,590744.0,586242.0,649070.0,655502.0,649383.0,702490.0,659971.0,664853.0,667897.0,731425.0,734124.0,698634.0,738536.0,661923.0,715671.0,709798.0,681120.0,705965.0,665809.0,582315.0,590945.0,638825.0,625384.0,647135.0,628928.0,641337.0,635975.0,660711.0,680484.0,684333.0,689276.0,704122.0,702841.0,720055.0,590813.0,577191.0,581897.0,588501.0,600789.0,602785.0,612775.0,
Área colhida - Café - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,2155017.0,2216921.0,1121015.0,1941473.0,2183673.0,2406239.0,2433604.0,2617836.0,1895486.0,2346007.0,2505435.0,2533762.0,2591461.0,2875641.0,2975245.0,3026535.0,2908961.0,2763439.0,2500324.0,2259332.0,2097650.0,1869984.0,1920253.0,1988186.0,2070409.0,2222925.0,2267968.0,2336031.0,2367471.0,2395501.0,2368040.0,2326010.0,2312154.0,2264182.0,2222074.0,2135358.0,2158414.0,2148775.0,2120080.0,2085522.0,1997827.0,1977714.0,1996604.0,1802417.0,1863966.0,1825283.0,1898239.0,1832508.0,1867423.0,1920889.0,
Área colhida - Cana-de-açúcar - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,2207887.0,2123873.0,2250172.0,2427276.0,2542726.0,2700867.0,2768514.0,2980396.0,3241386.0,3649317.0,3832177.0,4084858.0,4132875.0,4502078.0,4117375.0,4075839.0,4272602.0,4210954.0,4202604.0,3863702.0,4345260.0,4559062.0,4750296.0,4814084.0,4985819.0,4898844.0,4804511.0,4957897.0,5100405.0,5371020.0,5631741.0,5805538.0,6357870.0,7080920.0,8134997.0,8612294.0,9120775.0,9601316.0,9730719.0,10195166.0,10419678.0,10111376.0,10223894.0,10189208.0,10024104.0,10092430.0,10014198.0,9971370.0,9886621.0,10065599.0,
Área colhida - Cebola - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,52847.0,52258.0,57619.0,61095.0,56523.0,69101.0,67044.0,74250.0,62399.0,66849.0,68999.0,58005.0,63676.0,75041.0,69420.0,73810.0,74646.0,76666.0,76289.0,71910.0,81638.0,74676.0,69838.0,67763.0,67745.0,66169.0,66505.0,63931.0,68869.0,68790.0,58361.0,58428.0,63314.0,63622.0,64364.0,65413.0,71954.0,63481.0,60931.0,57402.0,59190.0,56677.0,57349.0,51682.0,47644.0,48134.0,47487.0,49024.0,49135.0,49358.0,
Área colhida - Feijão - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,8577110.0,8291832.0,8118352.0,4551032.0,4617259.0,4212424.0,4643409.0,5026925.0,5926143.0,4064028.0,5320150.0,5315890.0,5477688.0,5201791.0,5781248.0,5181016.0,4680094.0,5433642.0,5148698.0,3884341.0,5471322.0,5006403.0,4290513.0,4401770.0,3313621.0,4154194.0,4332545.0,3450347.0,4140528.0,4090568.0,3978660.0,3748657.0,4034383.0,3788407.0,3779354.0,4096934.0,3500777.0,3673162.0,2709485.0,2813506.0,3185745.0,2865396.0,2587772.0,2801248.0,2837675.0,2607691.0,2686870.0,2613648.0,2635041.0,2465222.0,
Área colhida - Fumo - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,240976.0,253736.0,280373.0,311386.0,328313.0,326049.0,316427.0,297564.0,317231.0,311759.0,282218.0,268992.0,279364.0,297744.0,280486.0,289083.0,274098.0,287266.0,344872.0,372912.0,320185.0,293425.0,314279.0,338059.0,353679.0,341591.0,310462.0,302559.0,344080.0,392619.0,462265.0,494629.0,495706.0,459481.0,432160.0,442387.0,451269.0,454501.0,410225.0,405253.0,415842.0,405881.0,376503.0,391188.0,356212.0,361827.0,353652.0,349389.0,325324.0,325408.0,
Área colhida - Laranja - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,347217.0,403192.0,413698.0,421707.0,454503.0,475008.0,575249.0,575247.0,589967.0,624367.0,632122.0,663063.0,707822.0,725560.0,805692.0,882632.0,912996.0,983407.0,988704.0,800505.0,897985.0,856419.0,964373.0,985521.0,1018576.0,1027079.0,856422.0,824693.0,828843.0,836041.0,823220.0,805666.0,805903.0,827069.0,836590.0,787223.0,775829.0,817292.0,729583.0,702200.0,680324.0,678807.0,642210.0,632939.0,589329.0,589764.0,572698.0,578153.0,568296.0,575437.0,
Área colhida - Lavoura permanente - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,6164470.0,6552107.0,5406015.0,6532836.0,6732195.0,6915965.0,7120197.0,7144088.0,6491151.0,6532892.0,6665390.0,6776729.0,6782855.0,6636957.0,7057248.0,7131629.0,7017498.0,6927439.0,6738443.0,6124225.0,5951638.0,5708548.0,5543012.0,5803341.0,5988516.0,6159444.0,6175170.0,6184280.0,6161310.0,6279032.0,6295583.0,6252270.0,6342186.0,6328645.0,6334267.0,6156094.0,6190013.0,6304477.0,6107896.0,5898108.0,5727127.0,5845102.0,5832166.0,5284657.0,5288220.0,5282676.0,5408413.0,5362089.0,5447006.0,5568134.0,
Área colhida - Lavoura temporária - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,45231780.0,47005994.0,50661120.0,40644045.0,40119327.0,41175176.0,42397183.0,41582429.0,44681749.0,38765838.0,43139645.0,45019184.0,46826519.0,46919753.0,48406419.0,48122899.0,43497198.0,43716434.0,43976156.0,40505077.0,45402395.0,45068169.0,40122311.0,41802830.0,40807201.0,42841756.0,44022209.0,44144276.0,46993996.0,51380817.0,55703140.0,56394066.0,55009661.0,55344917.0,58135396.0,58260329.0,58364299.0,60967619.0,61269247.0,65396271.0,69644674.0,70139293.0,69627596.0,72914819.0,72610755.0,75327342.0,77730130.0,80397694.0,85164768.0,90240281.0,
Área colhida - Mandioca - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,2005444.0,2041416.0,2093638.0,2175525.0,2148707.0,2111052.0,2015857.0,2067253.0,2122029.0,2061203.0,1815501.0,1868080.0,2051539.0,1936028.0,1752026.0,1880858.0,1937567.0,1944895.0,1826262.0,1811830.0,1850932.0,1946163.0,1508918.0,1551971.0,1578879.0,1571167.0,1708875.0,1667453.0,1678029.0,1633568.0,1754875.0,1901542.0,1896509.0,1894508.0,1887620.0,1759250.0,1793913.0,1733541.0,1692986.0,1525918.0,1568253.0,1512660.0,1396204.0,1266471.0,1215988.0,1194902.0,1214015.0,1215781.0,1186291.0,1201440.0,
Área colhida - Milho - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,10672329.0,10854687.0,11117570.0,11797411.0,11124827.0,11318885.0,11451297.0,11520336.0,12619531.0,10705979.0,12018446.0,11798349.0,12465836.0,13503431.0,13169003.0,12931784.0,11394307.0,13063701.0,13363609.0,11869663.0,13748813.0,13946320.0,11933811.0,12562130.0,10585498.0,11611483.0,11890376.0,12335175.0,11760965.0,12965678.0,12410677.0,11549425.0,12613094.0,13767493.0,14416992.0,13627073.0,12724874.0,13218892.0,14198496.0,15279652.0,15432909.0,15407143.0,14970502.0,17427206.0,16126368.0,17515920.0,18253766.0,18984300.0,21066201.0,22316340.0,
Área colhida - Pimenta-do-reino - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,8261.0,9909.0,11173.0,12578.0,15786.0,19879.0,23039.0,22998.0,22481.0,20732.0,20175.0,19219.0,20624.0,20805.0,23859.0,29239.0,34093.0,36888.0,29109.0,23572.0,21023.0,18743.0,16669.0,12040.0,11175.0,13313.0,16217.0,20739.0,23365.0,25628.0,26635.0,31832.0,33224.0,32857.0,29549.0,27415.0,23263.0,21089.0,19427.0,18472.0,19070.0,22105.0,25833.0,28631.0,34299.0,35320.0,37345.0,37994.0,41227.0,41026.0,
Área colhida - Soja - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,5143367.0,5824492.0,6417000.0,7070263.0,7782187.0,8256096.0,8774023.0,8501169.0,8203277.0,8137112.0,9421202.0,10153405.0,9181587.0,9134291.0,10519972.0,12211208.0,11487303.0,9616648.0,9441391.0,10635330.0,11525410.0,11675005.0,10291470.0,11486478.0,13303656.0,13061410.0,13656771.0,13985099.0,16359441.0,18524769.0,21538990.0,22953324.0,22047349.0,20565279.0,21184802.0,21673538.0,23355783.0,23968663.0,24975258.0,27906675.0,30273763.0,32181243.0,33183119.0,33959879.0,34777936.0,35895207.0,37188168.0,39126269.0,41050906.0,44447552.0,
Área colhida - Tomate - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,52976.0,46935.0,47231.0,51967.0,55902.0,57434.0,50103.0,48526.0,55451.0,48228.0,52138.0,53935.0,51854.0,57607.0,62798.0,64460.0,60869.0,60862.0,52210.0,53734.0,61939.0,62054.0,70916.0,65052.0,63901.0,65634.0,56720.0,57491.0,62520.0,63479.0,60152.0,60560.0,58893.0,58486.0,60828.0,67531.0,70899.0,71473.0,63859.0,62687.0,64363.0,63572.0,63995.0,61403.0,57388.0,54591.0,51960.0,51908.0,54341.0,59010.0,
Área colhida - Total - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,51396250.0,53558101.0,56067135.0,47176881.0,46851522.0,48091141.0,49517380.0,48726517.0,51172900.0,45298730.0,49805035.0,51795913.0,53609374.0,53556710.0,55463667.0,55254528.0,50514696.0,50643873.0,50714599.0,46629302.0,51354033.0,50776717.0,45665323.0,47606171.0,46795717.0,49001200.0,50197379.0,50328556.0,53155306.0,57659849.0,61998723.0,62646336.0,61351847.0,61673562.0,64469663.0,64416423.0,64450342.0,67272096.0,67377143.0,71294379.0,75371801.0,75984395.0,75459762.0,78199476.0,77898975.0,80610018.0,83138543.0,85759783.0,90611944.0,95808415.0,
Área colhida - Trigo - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,2471150.0,2931508.0,3539891.0,3153333.0,2811189.0,3830544.0,3122107.0,1920142.0,2827929.0,1879078.0,1741673.0,2676725.0,3864255.0,3455897.0,3467556.0,3281416.0,2680989.0,2049461.0,1955621.0,1482231.0,1348853.0,994734.0,1795985.0,1521545.0,1408852.0,1249764.0,1138687.0,1728492.0,2104902.0,2560231.0,2807224.0,2360696.0,1560175.0,1853224.0,2355893.0,2425503.0,2196601.0,2138916.0,1912711.0,2087395.0,2834945.0,2472628.0,2166170.0,1905617.0,2080204.0,2103578.0,2434703.0,2752664.0,3167112.0,3330303.0,
Área colhida - Uva - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,53324.0,57709.0,60700.0,59610.0,58223.0,59912.0,57345.0,57529.0,57607.0,58269.0,56950.0,57852.0,58977.0,58807.0,58330.0,59171.0,58663.0,58913.0,59888.0,60200.0,60251.0,60810.0,55916.0,56682.0,60721.0,59379.0,59788.0,63288.0,66300.0,68432.0,71637.0,73207.0,75354.0,78275.0,79062.0,80471.0,80231.0,81839.0,82063.0,79483.0,78765.0,78011.0,77164.0,75734.0,74477.0,74611.0,73726.0,75622.0,65589403.0,77019.0,
